2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/09 08:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/09 14:00; Rainfall: 0
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/10 08:00; Rainfall: 1.778
2016-12-14 13:36:13.483 +02:00 [Verbose] Date: 1937/12/10 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/11 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/11 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/12 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/12 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/13 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/13 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/14 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/14 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/15 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/15 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/16 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/16 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/17 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/17 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/18 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/18 14:00; Rainfall: 20.066
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/19 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/19 14:00; Rainfall: 5.334
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/20 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/20 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/21 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/21 14:00; Rainfall: 22.86
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/22 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/22 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/23 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/23 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/24 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/24 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/25 08:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/25 14:00; Rainfall: 0
2016-12-14 13:36:13.484 +02:00 [Verbose] Date: 1937/12/26 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/26 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/27 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/27 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/28 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/28 14:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/29 08:00; Rainfall: 0
2016-12-14 13:36:13.485 +02:00 [Verbose] Date: 1937/12/29 14:00; Rainfall: 0
